Rec_ID,Point_X,Point_Y,Height_m,Hotspot_Count,Hotspot_%,Type,Notes,Pollutant
R1968,443774.613600002,3922778.4415,,295,39.6505376344086,,,CO
R1320,443074.613600002,3921578.4415,,227,30.510752688172044,,,CO
R1360,443124.613600002,3921628.4415,,39,5.241935483870968,,,CO
R1321,443124.613600002,3921578.4415,,34,4.56989247311828,,,CO
R1967,443724.613600002,3922778.4415,,32,4.301075268817205,,,CO
R1359,443074.613600002,3921628.4415,,22,2.956989247311828,,,CO
R1996,443824.613599999,3922828.4415,,19,2.553763440860215,,,CO
R1941,443774.613600002,3922728.4415,,19,2.553763440860215,,,CO
R1942,443824.613599999,3922728.4415,,16,2.1505376344086025,,,CO
R1319,443024.613600001,3921578.4415,,16,2.1505376344086025,,,CO
R1358,443024.613600001,3921628.4415,,14,1.881720430107527,,,CO
R1969,443824.613599999,3922778.4415,,11,1.478494623655914,,,CO
R1968,443774.613600002,3922778.4415,,293,39.38172043010753,,,NOx
R1320,443074.613600002,3921578.4415,,232,31.182795698924732,,,NOx
R1360,443124.613600002,3921628.4415,,40,5.376344086021505,,,NOx
R1321,443124.613600002,3921578.4415,,34,4.56989247311828,,,NOx
R1967,443724.613600002,3922778.4415,,32,4.301075268817205,,,NOx
R1359,443074.613600002,3921628.4415,,23,3.0913978494623655,,,NOx
R1941,443774.613600002,3922728.4415,,19,2.553763440860215,,,NOx
R1996,443824.613599999,3922828.4415,,18,2.4193548387096775,,,NOx
R1319,443024.613600001,3921578.4415,,16,2.1505376344086025,,,NOx
R1358,443024.613600001,3921628.4415,,14,1.881720430107527,,,NOx
R1942,443824.613599999,3922728.4415,,14,1.881720430107527,,,NOx
R1969,443824.613599999,3922778.4415,,9,1.2096774193548387,,,NOx
R1968,443774.613600002,3922778.4415,,292,39.247311827956985,,,PM2.5
R1320,443074.613600002,3921578.4415,,232,31.182795698924732,,,PM2.5
R1360,443124.613600002,3921628.4415,,40,5.376344086021505,,,PM2.5
R1321,443124.613600002,3921578.4415,,34,4.56989247311828,,,PM2.5
R1967,443724.613600002,3922778.4415,,32,4.301075268817205,,,PM2.5
R1359,443074.613600002,3921628.4415,,23,3.0913978494623655,,,PM2.5
R1941,443774.613600002,3922728.4415,,19,2.553763440860215,,,PM2.5
R1996,443824.613599999,3922828.4415,,18,2.4193548387096775,,,PM2.5
R1319,443024.613600001,3921578.4415,,16,2.1505376344086025,,,PM2.5
R1358,443024.613600001,3921628.4415,,14,1.881720430107527,,,PM2.5
R1942,443824.613599999,3922728.4415,,14,1.881720430107527,,,PM2.5
R1969,443824.613599999,3922778.4415,,9,1.2096774193548387,,,PM2.5
R1281,443124.613600002,3921528.4415,,1,0.13440860215053765,,,PM2.5
R1968,443774.613600002,3922778.4415,,292,39.247311827956985,,,PM10
R1320,443074.613600002,3921578.4415,,232,31.182795698924732,,,PM10
R1360,443124.613600002,3921628.4415,,40,5.376344086021505,,,PM10
R1321,443124.613600002,3921578.4415,,34,4.56989247311828,,,PM10
R1967,443724.613600002,3922778.4415,,32,4.301075268817205,,,PM10
R1359,443074.613600002,3921628.4415,,23,3.0913978494623655,,,PM10
R1941,443774.613600002,3922728.4415,,19,2.553763440860215,,,PM10
R1996,443824.613599999,3922828.4415,,18,2.4193548387096775,,,PM10
R1319,443024.613600001,3921578.4415,,16,2.1505376344086025,,,PM10
R1358,443024.613600001,3921628.4415,,14,1.881720430107527,,,PM10
R1942,443824.613599999,3922728.4415,,14,1.881720430107527,,,PM10
R1969,443824.613599999,3922778.4415,,9,1.2096774193548387,,,PM10
R1281,443124.613600002,3921528.4415,,1,0.13440860215053765,,,PM10
