timestamp,X (m),Y (m),Concentration,Pollutant
2025-01-01 00:00:00,100,100,10.5,NOx
2025-01-01 01:00:00,100,100,11.2,NOx
2025-01-01 02:00:00,100,100,9.8,NOx
2025-01-01 03:00:00,100,100,10.1,NOx
2025-01-01 04:00:00,100,100,10.7,NOx
2025-01-01 05:00:00,100,100,11.5,NOx
2025-01-01 06:00:00,100,100,12.1,NOx
2025-01-01 07:00:00,100,100,13.4,NOx
2025-01-01 08:00:00,100,100,14.2,NOx
2025-01-01 09:00:00,100,100,13.8,NOx
2025-01-01 10:00:00,100,100,12.9,NOx
2025-01-01 11:00:00,100,100,12.5,NOx
2025-01-01 12:00:00,100,100,11.8,NOx
2025-01-01 13:00:00,100,100,11.2,NOx
2025-01-01 14:00:00,100,100,10.9,NOx
2025-01-01 15:00:00,100,100,10.4,NOx
2025-01-01 16:00:00,100,100,10.1,NOx
2025-01-01 17:00:00,100,100,9.7,NOx
2025-01-01 18:00:00,100,100,9.5,NOx
2025-01-01 19:00:00,100,100,9.2,NOx
2025-01-01 20:00:00,100,100,8.8,NOx
2025-01-01 21:00:00,100,100,8.5,NOx
2025-01-01 22:00:00,100,100,8.2,NOx
2025-01-01 23:00:00,100,100,8.0,NOx
2025-01-02 00:00:00,100,100,7.8,NOx
2025-01-02 01:00:00,100,100,7.5,NOx
2025-01-02 02:00:00,100,100,7.2,NOx
2025-01-02 03:00:00,100,100,7.0,NOx
2025-01-02 04:00:00,100,100,6.8,NOx
2025-01-02 05:00:00,100,100,6.5,NOx
2025-01-02 06:00:00,100,100,6.2,NOx
2025-01-02 07:00:00,100,100,6.0,NOx
2025-01-02 08:00:00,100,100,5.8,NOx
2025-01-02 09:00:00,100,100,5.5,NOx
2025-01-02 10:00:00,100,100,5.2,NOx
2025-01-02 11:00:00,100,100,5.0,NOx
2025-01-02 12:00:00,100,100,4.8,NOx
2025-01-02 13:00:00,100,100,4.5,NOx
2025-01-02 14:00:00,100,100,4.2,NOx
2025-01-02 15:00:00,100,100,4.0,NOx
2025-01-02 16:00:00,100,100,3.8,NOx
2025-01-02 17:00:00,100,100,3.5,NOx
2025-01-02 18:00:00,100,100,3.2,NOx
2025-01-02 19:00:00,100,100,3.0,NOx
2025-01-02 20:00:00,100,100,2.8,NOx
2025-01-02 21:00:00,100,100,2.5,NOx
2025-01-02 22:00:00,100,100,2.2,NOx
2025-01-02 23:00:00,100,100,2.0,NOx
2025-01-03 00:00:00,100,100,1.8,NOx
