Rec_ID,POINT_X,POINT_Y,CO,NOx,PM2.5,PM10
R001,442874.613600001,3919928.4415,0.0,0.0,0.0,0.0
R002,442924.613600001,3919928.4415,0.0,0.0,0.0,0.0
R003,442974.613600001,3919928.4415,0.0,0.0,0.0,0.0
R004,443024.613600001,3919928.4415,0.0,0.0,0.0,0.0
R005,443074.613600002,3919928.4415,0.0,0.0,0.0,0.0
R006,443124.613600002,3919928.4415,0.0,0.0,0.0,0.0
R007,443174.613599999,3919928.4415,0.0,0.0,0.0,0.0
R008,442774.6136,3919978.4415,0.0,0.0,0.0,0.0
R009,442824.613600001,3919978.4415,0.0,0.0,0.0,0.0
R010,442874.613600001,3919978.4415,0.0,0.0,0.0,0.0
R011,442924.613600001,3919978.4415,0.0,0.0,0.0,0.0
R012,442974.613600001,3919978.4415,0.0,0.0,0.0,0.0
R013,443024.613600001,3919978.4415,0.0,0.0,0.0,0.0
R014,443074.613600002,3919978.4415,0.0,0.0,0.0,0.0
R015,443124.613600002,3919978.4415,0.0,0.0,0.0,0.0
R016,443174.613599999,3919978.4415,0.0,0.0,0.0,0.0
R017,443224.6136,3919978.4415,0.0,0.0,0.0,0.0
R018,443274.6136,3919978.4415,0.0,0.0,0.0,0.0
R019,442674.6136,3920028.4415,0.0,0.0,0.0,0.0
R020,442724.6136,3920028.4415,0.0,0.0,0.0,0.0
R021,442774.6136,3920028.4415,0.0,0.0,0.0,0.0
R022,442824.613600001,3920028.4415,0.0,0.0,0.0,0.0
R023,442874.613600001,3920028.4415,0.0,0.0,0.0,0.0
R024,442924.613600001,3920028.4415,0.0,0.0,0.0,0.0
R025,442974.613600001,3920028.4415,0.0,0.0,0.0,0.0
R026,443024.613600001,3920028.4415,0.0,0.0,0.0,0.0
R027,443074.613600002,3920028.4415,0.0,0.0,0.0,0.0
R028,443124.613600002,3920028.4415,0.0,0.0,0.0,0.0
R029,443174.613599999,3920028.4415,0.0,0.0,0.0,0.0
R030,443224.6136,3920028.4415,0.0,0.0,0.0,0.0
R031,443274.6136,3920028.4415,0.0,0.0,0.0,0.0
R032,443324.6136,3920028.4415,0.0,0.0,0.0,0.0
R033,442574.6136,3920078.4415,0.0,0.0,0.0,0.0
R034,442624.6136,3920078.4415,0.0,0.0,0.0,0.0
R035,442674.6136,3920078.4415,0.0,0.0,0.0,0.0
