Rec_ID,POINT_X,POINT_Y,CO_MORNING,CO_MIDDAY,CO_EVENING,NOX_MORNING,NOX_MIDDAY,NOX_EVENING,PM2.5_MORNING,PM2.5_MIDDAY,PM2.5_EVENING,PM10_MORNING,PM10_MIDDAY,PM10_EVENING,SO2_MORNING,SO2_MIDDAY,SO2_EVENING
R001,441700,3920300,1.47265,1.0192,1.24423,0.98894,0.90687,0.12253,0.05495,0.0487,0.05777,0.05495,0.0487,0.05777,0,0,0
R002,441700,3920400,1.60164,1.10824,1.36853,1.0705,0.98714,0.13264,0.05953,0.05304,0.06355,0.05953,0.05304,0.06355,0,0,0
R003,441700,3920500,1.76711,1.21873,1.52368,1.17284,1.08667,0.14532,0.06533,0.05846,0.07081,0.06533,0.05846,0.07081,0,0,0
R004,441700,3920600,1.89649,1.32977,1.67657,1.26694,1.18739,0.15697,0.07031,0.06367,0.0777,0.07031,0.06367,0.0777,0,0,0
R005,441700,3920700,2.30934,1.63701,2.09821,1.54231,1.46466,0.19108,0.08558,0.07843,0.09723,0.08558,0.07843,0.09723,0,0,0
R006,441700,3920800,3.00701,2.1482,2.79658,2.00435,1.9255,0.24832,0.11135,0.10324,0.12972,0.11135,0.10324,0.12972,0,0,0
R007,441700,3920900,3.66205,2.53191,3.34117,2.37921,2.26954,0.29476,0.13353,0.12279,0.15593,0.13353,0.12279,0.15593,0,0,0
R008,441700,3921000,1.53385,1.33212,1.63299,1.18746,1.19537,0.14711,0.06197,0.06108,0.07281,0.06197,0.06108,0.07281,0,0,0
R009,441700,3921100,1.30825,1.15702,1.40389,1.0294,1.03787,0.12753,0.05319,0.05257,0.06211,0.05319,0.05257,0.06211,0,0,0
R010,441700,3921200,1.07113,0.94563,1.1242,0.84881,0.84665,0.10516,0.04348,0.04259,0.0493,0.04348,0.04259,0.0493,0,0,0
R011,441700,3921300,0.91664,0.81112,0.9465,0.73283,0.72507,0.09079,0.03718,0.03621,0.04109,0.03718,0.03621,0.04109,0,0,0
R012,441700,3921400,0.83682,0.73435,0.8507,0.66703,0.65586,0.08264,0.03367,0.03261,0.0367,0.03367,0.03261,0.0367,0,0,0
R013,441700,3921500,0.71914,0.63943,0.72487,0.58304,0.57025,0.07224,0.02901,0.02805,0.03082,0.02901,0.02805,0.03082,0,0,0
R014,441700,3921600,0.66965,0.59262,0.66765,0.54231,0.52815,0.06719,0.02682,0.02584,0.02817,0.02682,0.02584,0.02817,0,0,0
R015,441700,3921700,0.65273,0.57032,0.64393,0.5235,0.50816,0.06486,0.02584,0.02482,0.02708,0.02584,0.02482,0.02708,0,0,0
R016,441700,3921800,0.62714,0.54159,0.61138,0.49889,0.48238,0.06181,0.02451,0.02345,0.02554,0.02451,0.02345,0.02554,0,0,0
R017,441700,3921900,0.61849,0.52343,0.5953,0.48383,0.4662,0.05995,0.02371,0.02261,0.02476,0.02371,0.02261,0.02476,0,0,0
R018,441700,3922000,0.60363,0.50135,0.57411,0.4649,0.44651,0.0576,0.02269,0.02156,0.02373,0.02269,0.02156,0.02373,0,0,0
R019,441700,3922100,0.60596,0.48579,0.56518,0.45301,0.43273,0.05613,0.02215,0.02089,0.02334,0.02215,0.02089,0.02334,0,0,0
R020,441700,3922200,0.58527,0.4642,0.54149,0.43383,0.41345,0.05375,0.02103,0.01981,0.02212,0.02103,0.01981,0.02212,0,0,0
R021,441700,3922300,0.56498,0.44089,0.51654,0.41347,0.39261,0.05123,0.01989,0.01868,0.0209,0.01989,0.01868,0.0209,0,0,0
R022,441700,3922400,0.52782,0.40655,0.47697,0.38265,0.36191,0.04741,0.01826,0.01713,0.0191,0.01826,0.01713,0.0191,0,0,0
R023,441700,3922500,0.49996,0.38055,0.44835,0.35903,0.33874,0.04448,0.01711,0.016,0.0179,0.01711,0.016,0.0179,0,0,0
R024,441700,3922600,0.4877,0.36557,0.43462,0.34563,0.32548,0.04282,0.01658,0.01542,0.01746,0.01658,0.01542,0.01746,0,0,0
R025,441700,3922700,0.44744,0.33489,0.39695,0.3171,0.29807,0.03929,0.01513,0.01406,0.01584,0.01513,0.01406,0.01584,0,0,0
R026,441700,3922800,0.41063,0.30525,0.36198,0.28963,0.27163,0.03589,0.01376,0.01278,0.01437,0.01376,0.01278,0.01437,0,0,0
R027,441700,3922900,0.37686,0.2783,0.33031,0.26455,0.24761,0.03278,0.01253,0.01163,0.01306,0.01253,0.01163,0.01306,0,0,0
R028,441700,3923000,0.33732,0.25185,0.29695,0.23914,0.22404,0.02963,0.01138,0.01057,0.01181,0.01138,0.01057,0.01181,0,0,0
R029,441700,3923100,0.29204,0.22372,0.26074,0.21153,0.199,0.02621,0.01012,0.00944,0.01045,0.01012,0.00944,0.01045,0,0,0
R030,441700,3923200,0.2638,0.20383,0.23593,0.19266,0.18125,0.02387,0.00921,0.0086,0.00945,0.00921,0.0086,0.00945,0,0,0
R031,441700,3923300,0.25675,0.19492,0.22723,0.18484,0.17333,0.0229,0.00882,0.00821,0.00907,0.00882,0.00821,0.00907,0,0,0
R032,441800,3920300,1.62145,1.09505,1.34031,1.07179,0.97364,0.1328,0.05999,0.05254,0.06255,0.05999,0.05254,0.06255,0,0,0
R033,441800,3920400,1.71483,1.1649,1.43811,1.13364,1.03681,0.14046,0.0634,0.05598,0.06706,0.0634,0.05598,0.06706,0,0,0
R034,441800,3920500,1.85411,1.26244,1.57505,1.22222,1.12484,0.15144,0.06837,0.06075,0.07343,0.06837,0.06075,0.07343,0,0,0
R035,441800,3920600,2.12332,1.43164,1.81535,1.38227,1.27705,0.17126,0.07763,0.06918,0.08482,0.07763,0.06918,0.08482,0,0,0
R036,441800,3920700,2.48937,1.69763,2.18196,1.62241,1.51698,0.20101,0.09102,0.08202,0.10185,0.09102,0.08202,0.10185,0,0,0
R037,441800,3920800,3.27673,2.25249,2.94651,2.12976,2.01688,0.26386,0.11961,0.10913,0.13761,0.11961,0.10913,0.13761,0,0,0
R038,441800,3920900,3.17192,2.47065,3.19537,2.23671,2.22015,0.27709,0.12158,0.11687,0.14638,0.12158,0.11687,0.14638,0,0,0
R039,441800,3921000,2.16312,1.99407,2.49756,1.72644,1.79619,0.21386,0.08945,0.09123,0.11128,0.08945,0.09123,0.11128,0,0,0
R040,441800,3921100,1.48411,1.35442,1.65273,1.18988,1.21673,0.14741,0.06125,0.06144,0.07311,0.06125,0.06144,0.07311,0,0,0
R041,441800,3921200,1.08511,0.9899,1.16593,0.88258,0.88644,0.10934,0.04491,0.04442,0.05095,0.04491,0.04442,0.05095,0,0,0
R042,441800,3921300,0.99546,0.89236,1.04447,0.80197,0.79823,0.09936,0.04071,0.03987,0.04544,0.04071,0.03987,0.04544,0,0,0
R043,441800,3921400,0.89033,0.79164,0.91555,0.71654,0.70721,0.08877,0.03613,0.03513,0.03951,0.03613,0.03513,0.03951,0,0,0
R044,441800,3921500,0.80098,0.71129,0.81198,0.64717,0.63469,0.08018,0.03235,0.03133,0.0347,0.03235,0.03133,0.0347,0,0,0
R045,441800,3921600,0.74981,0.66071,0.75127,0.60341,0.58922,0.07476,0.03001,0.02897,0.03189,0.03001,0.02897,0.03189,0,0,0
R046,441800,3921700,0.7,0.61433,0.69434,0.56292,0.54751,0.06974,0.02781,0.02677,0.02925,0.02781,0.02677,0.02925,0,0,0
R047,441800,3921800,0.6584,0.57427,0.64567,0.52814,0.51148,0.06544,0.02592,0.02486,0.02698,0.02592,0.02486,0.02698,0,0,0
R048,441800,3921900,0.64125,0.55097,0.6217,0.50831,0.49064,0.06298,0.02484,0.02373,0.02581,0.02484,0.02373,0.02581,0,0,0
R049,441800,3922000,0.64699,0.53891,0.61688,0.49939,0.48,0.06187,0.02442,0.02321,0.02556,0.02442,0.02321,0.02556,0,0,0
R050,441800,3922100,0.63635,0.51684,0.59751,0.48101,0.46035,0.0596,0.02346,0.02218,0.02462,0.02346,0.02218,0.02462,0,0,0
R051,441800,3922200,0.61764,0.49334,0.57357,0.46056,0.43938,0.05706,0.02233,0.02106,0.02345,0.02233,0.02106,0.02345,0,0,0
R052,441800,3922300,0.59357,0.467,0.54493,0.43739,0.41583,0.05419,0.021,0.01976,0.02201,0.021,0.01976,0.02201,0,0,0
R053,441800,3922400,0.57868,0.44542,0.52381,0.41896,0.39658,0.05191,0.02002,0.01876,0.02101,0.02002,0.01876,0.02101,0,0,0
R054,441800,3922500,0.5468,0.41466,0.4897,0.39133,0.36913,0.04849,0.01862,0.0174,0.01952,0.01862,0.0174,0.01952,0,0,0
R055,441800,3922600,0.50391,0.37892,0.44792,0.35847,0.33724,0.04442,0.01699,0.01586,0.01776,0.01699,0.01586,0.01776,0,0,0
R056,441800,3922700,0.4765,0.35562,0.42162,0.33695,0.3165,0.04175,0.01598,0.01488,0.01672,0.01598,0.01488,0.01672,0,0,0
R057,441800,3922800,0.44212,0.32651,0.38796,0.31022,0.29053,0.03844,0.01468,0.01363,0.01532,0.01468,0.01363,0.01532,0,0,0
R058,441800,3922900,0.40638,0.29823,0.35493,0.28379,0.26534,0.03516,0.01341,0.01244,0.01399,0.01341,0.01244,0.01399,0,0,0
