Year,Month,Day,Hour,CloudCover_tenths,TEMP_C,RelativeHumidity_%,StationPressure_mb,WD,WS,CeilingHeight_m
2025,1,1,1,1,7.64,63.3,975.36,41,3.36,10000
2025,1,1,2,1,7.31,63,974.93,41,3.41,10000
2025,1,1,3,0,6.67,60.8,974.79,43,3.47,10000
2025,1,1,4,0,6.71,59.2,974.88,45,3.5,10000
2025,1,1,5,0,6.79,57,975.32,46,3.61,10000
2025,1,1,6,0,8.14,51.1,975.97,46,3.94,10000
2025,1,1,7,0,9.35,48.1,976.5,46,4.19,10000
2025,1,1,8,0,10.42,45.9,976.88,49,4.35,10000
2025,1,1,9,0,14.33,32.9,976.77,51,4.92,10000
2025,1,1,10,0,14.31,35.5,976.23,49,5.05,10000
2025,1,1,11,0,15.12,32.2,975.16,41,5.02,10000
2025,1,1,12,0,15.5,30.9,975.01,40,4.68,10000
2025,1,1,13,0,15.47,30.1,975.22,41,4.24,10000
2025,1,1,14,0,15.25,29.6,975.3,34,3.15,10000
2025,1,1,15,0,12.86,36.4,975.83,19,2.61,10000
2025,1,1,16,0,12.72,37.1,976.11,24,3.28,10000
2025,1,1,17,0,12.53,36.6,976.99,33,3.83,10000
2025,1,1,18,0,10.72,41.4,977.34,38,3.99,10000
2025,1,1,19,0,10.39,41.6,977.73,41,4.1,10000
2025,1,1,20,0,10.02,40.8,978.02,41,4.16,10000
2025,1,1,21,0,8.77,43.1,978.18,40,4.27,10000
2025,1,1,22,0,8.71,42.6,978.48,39,4.29,10000
2025,1,1,23,0,8.61,42.4,977.98,41,4.55,10000
2025,1,1,24,0,8.06,43.4,978,42,4.72,10000
2025,1,2,1,0,7.86,43.9,978.21,44,4.65,10000
2025,1,2,2,0,7.47,44.5,978.19,45,4.63,10000
2025,1,2,3,0,6.62,46.2,978.11,45,4.74,10000
2025,1,2,4,0,6.18,46.7,978.67,46,4.81,10000
2025,1,2,5,0,6.07,46.7,979.06,48,4.82,10000
2025,1,2,6,0,7.4,43,979.81,48,5.04,10000
2025,1,2,7,0,9.26,40.1,980.48,47,5.2,10000
2025,1,2,8,0,10.19,39.3,980.79,51,5.2,10000
2025,1,2,9,0,14.75,29.4,980.29,56,5.7,10000
2025,1,2,10,0,14.89,29.4,979.7,57,5.48,10000
2025,1,2,11,0,16.49,23.5,979,57,5.13,10000
2025,1,2,12,0,16.64,24,978.36,56,4.75,10000
2025,1,2,13,0,16.54,24.4,978.41,54,4.3,10000
2025,1,2,14,0,16.44,21.6,978.52,46,2.96,10000
2025,1,2,15,0,12.87,36.5,979,30,2.03,10000
2025,1,2,16,0,12.01,40,978.89,28,2.26,10000
2025,1,2,17,0,11.89,39.9,979.2,32,2.55,10000
